NGO_ID,Name,Email,City,State,Latitude,Longitude,Special_Focus,Capacity_per_week,Urgent_Need,Cause,Acceptance_Rate,Organization_Name,Organization_Type,Total_Donations_Received,Total_Requests_Made,Created_At
6946f7f013cd35f261c0d358,"Hope Foundation - Mumbai","ngo1@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Hope Foundation - Mumbai","NGO",0,19,
6946f7f013cd35f261c0d359,"Seva Trust - Mumbai","ngo2@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Seva Trust - Mumbai","NGO",0,39,
6946f7f013cd35f261c0d35a,"Care India - Mumbai","ngo3@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Care India - Mumbai","NGO",0,19,
6946f7f013cd35f261c0d35b,"Helping Hands - Mumbai","ngo4@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Helping Hands - Mumbai","NGO",0,25,
6946f7f013cd35f261c0d35c,"Smile Foundation - Mumbai","ngo5@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Smile Foundation - Mumbai","NGO",0,24,
6946f7f013cd35f261c0d35d,"Hope Foundation - Delhi","ngo6@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Hope Foundation - Delhi","NGO",0,14,
6946f7f013cd35f261c0d35e,"Seva Trust - Delhi","ngo7@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Seva Trust - Delhi","NGO",0,3,
6946f7f013cd35f261c0d35f,"Care India - Delhi","ngo8@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Care India - Delhi","NGO",0,35,
6946f7f013cd35f261c0d360,"Helping Hands - Delhi","ngo9@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Helping Hands - Delhi","NGO",0,17,
6946f7f013cd35f261c0d361,"Smile Foundation - Delhi","ngo10@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Smile Foundation - Delhi","NGO",0,21,
6946f7f013cd35f261c0d362,"Hope Foundation - Bengaluru","ngo11@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Hope Foundation - Bengaluru","NGO",0,27,
6946f7f013cd35f261c0d363,"Seva Trust - Bengaluru","ngo12@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Seva Trust - Bengaluru","NGO",0,10,
6946f7f013cd35f261c0d364,"Care India - Bengaluru","ngo13@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Care India - Bengaluru","NGO",0,44,
6946f7f013cd35f261c0d365,"Helping Hands - Bengaluru","ngo14@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Helping Hands - Bengaluru","NGO",0,4,
6946f7f013cd35f261c0d366,"Smile Foundation - Bengaluru","ngo15@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Smile Foundation - Bengaluru","NGO",0,44,
6946f7f013cd35f261c0d367,"Hope Foundation - Hyderabad","ngo16@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Hope Foundation - Hyderabad","NGO",0,37,
6946f7f013cd35f261c0d368,"Seva Trust - Hyderabad","ngo17@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Seva Trust - Hyderabad","NGO",0,3,
6946f7f013cd35f261c0d369,"Care India - Hyderabad","ngo18@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Care India - Hyderabad","NGO",0,27,
6946f7f013cd35f261c0d36a,"Helping Hands - Hyderabad","ngo19@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Helping Hands - Hyderabad","NGO",0,8,
6946f7f013cd35f261c0d36b,"Smile Foundation - Hyderabad","ngo20@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Smile Foundation - Hyderabad","NGO",0,6,
6946f7f013cd35f261c0d36c,"Hope Foundation - Chennai","ngo21@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Hope Foundation - Chennai","NGO",0,11,
6946f7f013cd35f261c0d36d,"Seva Trust - Chennai","ngo22@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Seva Trust - Chennai","NGO",0,47,
6946f7f013cd35f261c0d36e,"Care India - Chennai","ngo23@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Care India - Chennai","NGO",0,8,
6946f7f013cd35f261c0d36f,"Helping Hands - Chennai","ngo24@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Helping Hands - Chennai","NGO",0,47,
6946f7f013cd35f261c0d370,"Smile Foundation - Chennai","ngo25@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Smile Foundation - Chennai","NGO",0,43,
6946f7f013cd35f261c0d371,"Hope Foundation - Kolkata","ngo26@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Hope Foundation - Kolkata","NGO",0,49,
6946f7f013cd35f261c0d372,"Seva Trust - Kolkata","ngo27@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Seva Trust - Kolkata","NGO",0,19,
6946f7f013cd35f261c0d373,"Care India - Kolkata","ngo28@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Care India - Kolkata","NGO",0,3,
6946f7f013cd35f261c0d374,"Helping Hands - Kolkata","ngo29@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Helping Hands - Kolkata","NGO",0,15,
6946f7f013cd35f261c0d375,"Smile Foundation - Kolkata","ngo30@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Smile Foundation - Kolkata","NGO",0,37,
6946f7f013cd35f261c0d376,"Hope Foundation - Pune","ngo31@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Hope Foundation - Pune","NGO",0,16,
6946f7f013cd35f261c0d377,"Seva Trust - Pune","ngo32@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Seva Trust - Pune","NGO",0,26,
6946f7f013cd35f261c0d378,"Care India - Pune","ngo33@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Care India - Pune","NGO",0,39,
6946f7f013cd35f261c0d379,"Helping Hands - Pune","ngo34@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Helping Hands - Pune","NGO",0,40,
6946f7f013cd35f261c0d37a,"Smile Foundation - Pune","ngo35@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Smile Foundation - Pune","NGO",0,43,
6946f7f013cd35f261c0d37b,"Hope Foundation - Ahmedabad","ngo36@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Hope Foundation - Ahmedabad","NGO",0,39,
6946f7f013cd35f261c0d37c,"Seva Trust - Ahmedabad","ngo37@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Seva Trust - Ahmedabad","NGO",0,34,
6946f7f013cd35f261c0d37d,"Care India - Ahmedabad","ngo38@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Care India - Ahmedabad","NGO",0,29,
6946f7f013cd35f261c0d37e,"Helping Hands - Ahmedabad","ngo39@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Helping Hands - Ahmedabad","NGO",0,3,
6946f7f013cd35f261c0d37f,"Smile Foundation - Ahmedabad","ngo40@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Smile Foundation - Ahmedabad","NGO",0,43,
6946f7f013cd35f261c0d380,"Hope Foundation - Jaipur","ngo41@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Hope Foundation - Jaipur","NGO",0,12,
6946f7f013cd35f261c0d381,"Seva Trust - Jaipur","ngo42@example.com","Mysuru","Karnataka",12.295800,76.639400,"Kids Wear, Women's Wear",180,False,"Child Welfare",0.80,"Seva Trust - Jaipur","NGO",0,24,
6946f7f013cd35f261c0d382,"Care India - Jaipur","ngo43@example.com","Mangaluru","Karnataka",12.914100,74.856000,"All types",400,True,"Poverty",0.80,"Care India - Jaipur","NGO",0,6,
6946f7f013cd35f261c0d383,"Helping Hands - Jaipur","ngo44@example.com","Hubballi","Karnataka",15.364700,75.124000,"Women's Wear, Accessories",150,False,"Women Empowerment",0.80,"Helping Hands - Jaipur","NGO",0,45,
6946f7f013cd35f261c0d384,"Smile Foundation - Jaipur","ngo45@example.com","Bengaluru","Karnataka",12.971600,77.594600,"Men's Wear, Women's Wear, Winter Wear",250,True,"Education",0.80,"Smile Foundation - Jaipur","NGO",0,39,
